V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W]
0.137181282,0.003229764,0.000443063,0.137212753,0.002936304,0.000402898,0.117468834,0.00294737,0.000346224,0.117536068,0.002542549,0.000298841,0.097716331,0.002538102,0.000248014,0.09775877,0.002100036,0.000205297,0.097809792,0.002098115,0.000205216,0.09786129,0.002036803,0.000199324,0.097813129,0.002041922,0.000199727,0.097858429,0.001712617,0.000167594,0.097828865,0.00171425,0.000167703,0.097742081,0.00160224,0.000156606,0.097779274,0.001600132,0.00015646,0.097804546,0.000821293,8.03E-05,0.097860336,0.000821855,8.04E-05,0.09782362,0.000685356,6.70E-05,0.097780704,0.000685816,6.71E-05,0.097788334,0.00052312,5.12E-05,0.0978899,0.000520264,5.09E-05,0.097775936,0.000375668,3.67E-05,0.097821712,0.00037515,3.67E-05,0.097743988,1.60E-05,1.57E-06,0.097836971,0.000617067,6.04E-05,0.097872257,0.000612246,5.99E-05
0.1568923,0.003230162,0.000506788,0.156918526,0.002937329,0.000460921,0.137167931,0.002947799,0.000404343,0.137237549,0.002542627,0.000348944,0.117416382,0.002538477,0.000298059,0.11746645,0.002100108,0.000246692,0.117514133,0.002097563,0.000246493,0.117565155,0.002037544,0.000239544,0.117519379,0.002042598,0.000240045,0.117566586,0.001713697,0.000201473,0.117535114,0.001714242,0.000201484,0.117445946,0.00160235,0.000188189,0.117487431,0.001600474,0.000188036,0.117515087,0.000821017,9.65E-05,0.117566586,0.000822083,9.66E-05,0.117528439,0.000685193,8.05E-05,0.117488861,0.000685839,8.06E-05,0.117494106,0.00052313,6.15E-05,0.117594242,0.00052039,6.12E-05,0.117475033,0.000375535,4.41E-05,0.117526531,0.000375147,4.41E-05,0.117490292,1.60E-05,1.88E-06,0.117547035,0.000617132,7.25E-05,0.117578983,0.000612263,7.20E-05
0.176611423,0.003230851,0.000570605,0.176622868,0.002938232,0.000518959,0.156871319,0.00294791,0.000462442,0.156941414,0.002542865,0.000399081,0.137121677,0.002539304,0.000348194,0.137174129,0.002100276,0.000288104,0.137214661,0.002097477,0.000287805,0.137270451,0.002038364,0.000279807,0.137226105,0.002042956,0.000280347,0.13727951,0.001714173,0.000235321,0.137242317,0.001714088,0.000235245,0.137158394,0.001602298,0.000219769,0.137196064,0.00160127,0.000219688,0.137235641,0.000820723,0.000112632,0.137266159,0.000822336,0.000112879,0.137235641,0.000685114,9.40E-05,0.137202263,0.000685701,9.41E-05,0.137199402,0.000523071,7.18E-05,0.137303352,0.000520472,7.15E-05,0.137172699,0.000375333,5.15E-05,0.137227535,0.000375141,5.15E-05,0.137188911,1.60E-05,2.20E-06,0.137257576,0.000617199,8.47E-05,0.137284279,0.000612312,8.41E-05
0.196321487,0.003232134,0.000634537,0.196337223,0.002938887,0.000577013,0.17658329,0.002947181,0.000520423,0.176649094,0.002543038,0.000449225,0.156831741,0.002539656,0.000398299,0.156879425,0.002100777,0.000329569,0.156921387,0.002097367,0.000329122,0.156973362,0.002039769,0.000320189,0.156928539,0.002043048,0.000320613,0.156985283,0.00171458,0.000269164,0.156948566,0.001713992,0.000269009,0.15686655,0.001602303,0.000251348,0.156903744,0.001602255,0.0002514,0.156947613,0.000820578,0.000128788,0.156970024,0.000822452,0.0001291,0.156941414,0.000685067,0.000107515,0.15691328,0.000685992,0.000107641,0.156909466,0.000523062,8.21E-05,0.157009125,0.000520495,8.17E-05,0.156866074,0.000375085,5.88E-05,0.156912804,0.00037512,5.89E-05,0.156903267,1.60E-05,2.51E-06,0.156964779,0.000617276,9.69E-05,0.156986713,0.000612352,9.61E-05
0.21608305,0.003233882,0.000698787,0.216108799,0.002940197,0.000635402,0.19629097,0.002946721,0.000578415,0.196349144,0.002543498,0.000499414,0.176543713,0.00254022,0.00044846,0.17659235,0.002101062,0.000371031,0.176634312,0.002097466,0.000370485,0.176685333,0.002041322,0.000360672,0.176639557,0.002043211,0.000360912,0.176696301,0.001714794,0.000302998,0.176662922,0.001713769,0.000302759,0.176583767,0.00160237,0.000282953,0.176620007,0.001603167,0.000283151,0.176660538,0.000820523,0.000144954,0.17667532,0.000822373,0.000145293,0.176652431,0.000684906,0.00012099,0.176626682,0.000686299,0.000121219,0.176626205,0.000522986,9.24E-05,0.176717758,0.000520533,9.20E-05,0.176591873,0.000374935,6.62E-05,0.176625729,0.000375019,6.62E-05,0.176612854,1.60E-05,2.83E-06,0.176678658,0.000617373,0.000109077,0.176693916,0.000612408,0.000108209
0.235851288,0.003235094,0.000763001,0.235877514,0.00294134,0.000693796,0.216058254,0.002946735,0.000636666,0.216115475,0.002544242,0.00054985,0.196248055,0.002541309,0.000498727,0.196299553,0.002101819,0.000412586,0.196340084,0.002097641,0.000411851,0.19638586,0.002042809,0.000401179,0.19634676,0.002043206,0.000401177,0.196401119,0.001714756,0.00033678,0.196366787,0.0017135,0.000336474,0.196284294,0.001602321,0.00031451,0.196327209,0.001604173,0.000314943,0.19637537,0.000820586,0.000161143,0.19638443,0.000822196,0.000161466,0.196353912,0.00068493,0.000134489,0.1963377,0.000686347,0.000134756,0.196341038,0.00052287,0.000102661,0.196428299,0.000520552,0.000102251,0.196293831,0.00037481,7.36E-05,0.196327686,0.000374845,7.36E-05,0.19631815,1.60E-05,3.15E-06,0.196387291,0.000617484,0.000121266,0.196398735,0.000612485,0.000120291
0.255621433,0.003235509,0.000827065,0.255647659,0.002941972,0.000752108,0.235833168,0.002946568,0.000694899,0.235886097,0.002544924,0.000600312,0.216014862,0.002542177,0.000549148,0.216068745,0.002102967,0.000454385,0.216102123,0.002098102,0.000453404,0.216153622,0.002043988,0.000441815,0.216115952,0.002043378,0.000441607,0.216165066,0.0017144,0.000370593,0.216135979,0.001713493,0.000370348,0.216052055,0.001602262,0.000346172,0.216095448,0.001605224,0.000346882,0.2161479,0.000820678,0.000177388,0.216152668,0.000821952,0.000177667,0.216121674,0.000684981,0.000148039,0.216114521,0.000686327,0.000148325,0.216112614,0.000522861,0.000112997,0.216198921,0.000520553,0.000112543,0.216065407,0.000374695,8.10E-05,0.216097355,0.000374628,8.10E-05,0.216088772,1.60E-05,3.47E-06,0.216148853,0.000617567,0.000133486,0.216161728,0.000612588,0.000132418
0.275388718,0.003236505,0.000891297,0.275419712,0.002943321,0.000810649,0.255608559,0.002946758,0.000753217,0.25565815,0.002545948,0.000650892,0.235780239,0.002542828,0.000599549,0.235846043,0.002103647,0.000496137,0.235868931,0.002098782,0.000495037,0.235926151,0.002045103,0.000482493,0.235889435,0.002043804,0.000482112,0.235936165,0.001714722,0.000404565,0.235907555,0.001713611,0.000404254,0.235821724,0.001602433,0.000377889,0.235865116,0.001605978,0.000378794,0.235910892,0.000820864,0.000193651,0.235928535,0.00082149,0.000193813,0.235888481,0.000684844,0.000161547,0.235891342,0.000686155,0.000161858,0.235890865,0.00052279,0.000123321,0.235970497,0.000520556,0.000122836,0.235831738,0.000374603,8.83E-05,0.235862255,0.000374356,8.83E-05,0.2358675,1.61E-05,3.79E-06,0.235916138,0.000617686,0.000145722,0.235926628,0.000612673,0.000144546
0.295158386,0.003237177,0.00095548,0.29519558,0.002944745,0.000869276,0.275377274,0.002948135,0.000811849,0.275434017,0.002547426,0.000701648,0.255545139,0.002543434,0.000649962,0.255617619,0.00210373,0.00053775,0.255638599,0.002099463,0.000536704,0.255693913,0.002046114,0.000523179,0.255660057,0.002044303,0.000522647,0.255712032,0.001715075,0.000438565,0.255679131,0.001713308,0.000438057,0.255596161,0.001602876,0.000409689,0.255635738,0.001606703,0.000410731,0.255681515,0.000821129,0.000209947,0.255705833,0.000821023,0.00020994,0.255655766,0.000684697,0.000175047,0.255670071,0.000685735,0.000175322,0.255664825,0.000522675,0.00013363,0.255746841,0.000520584,0.000133138,0.255599976,0.000374505,9.57E-05,0.255636215,0.000374047,9.56E-05,0.255638599,1.61E-05,4.10E-06,0.255692005,0.000617822,0.000157972,0.25570488,0.000612771,0.000156689
0.314878941,0.003236265,0.001019032,0.314908028,0.002945618,0.000927599,0.295149326,0.00294967,0.000870593,0.295217037,0.002548805,0.000752451,0.275307655,0.002544711,0.000700578,0.275384903,0.002103938,0.000579393,0.275399685,0.002100365,0.00057844,0.275464535,0.002046688,0.00056379,0.275425911,0.002045004,0.000563247,0.275483608,0.001715814,0.000472679,0.275448799,0.001713311,0.000471929,0.275359631,0.001603546,0.000441552,0.275403023,0.001607209,0.00044263,0.275446892,0.000821398,0.000226252,0.275477886,0.000820751,0.000226099,0.275417805,0.000684735,0.000188588,0.275436878,0.000685357,0.000188773,0.275435925,0.000522812,0.000144001,0.275512218,0.000520632,0.000143441,0.275366306,0.00037436,0.000103086,0.275408745,0.000373796,0.000102947,0.275405884,1.60E-05,4.42E-06,0.275465965,0.000617965,0.000170228,0.275481224,0.000612857,0.000168831
