Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			Run Id			
Device	1 Sun		Device	T89		Device	T89		Device	T75		Device	T75		Device	T63		Device	T63		Device	T56		Device	T56		Device	T51		Device	T51		Device	T39		Device	T39		Device	T20		Device	T20		Device	T18		Device	T18		Device	T8		Device	T8		Device	T5.1		Device	T5.1		Device	Room light		Device	Torch		Device	Torch		
0.117470264434815	0.00322982107452346	0.000379407935701408	0.117506980895997	0.00293579352214514	0.000344976233321301	0.0977640151977536	0.00294710942723559	0.000288121250833703	0.0978350639343258	0.00254299460613343	0.00024879403987571	0.0780038833618164	0.00253976580012663	0.000198111595239408	0.078047275543212	0.00209958223118796	0.000163866672923158	0.078100204467774	0.0020986703316569	0.000163906582012855	0.0781426429748536	0.00203659391746488	0.000159144831377216	0.0780935287475586	0.00204125570007384	0.000159408860694834	0.078146934509278	0.00171154232407625	0.000133751785909444	0.0781168937683106	0.00171381157503022	0.000133877636745537	0.0780200958251954	0.00160230541094757	0.000125012021703358	0.0780591964721672	0.00159996034585931	0.000124891618985108	0.0780878067016606	0.000821602488995272	6.41571363462661E-05	0.0781502723693846	0.000821679011425141	6.42144385430814E-05	0.078105449676513	0.000685569535177199	5.35467168295331E-05	0.078067302703857	0.000686041613311449	5.35574182938273E-05	0.0780806541442862	0.000523196973700806	4.08515619528699E-05	0.0781769752502436	0.000520201871856805	4.06678088612798E-05	0.0780625343322754	0.000375775654166318	2.93339999045914E-05	0.078109264373779	0.000375092701190202	2.92982149619404E-05	0.0780310630798344	1.60501197792017E-05	1.25240790892979E-06	0.0781235694885254	0.000617025969499771	4.82042712044402E-05	0.0781621932983406	0.000612221527001543	4.78525773348999E-05	
0.137181282043456	0.00322976435697866	0.000443063215188592	0.137212753295899	0.00293630398004828	0.000402898353616132	0.117468833923339	0.00294737047695325	0.000346224173067775	0.117536067962646	0.00254254924767825	0.000298841241173485	0.0977163314819342	0.00253810213204547	0.000248014029269959	0.0977587699890136	0.00210003569214954	0.000205296906197565	0.0978097915649412	0.00209811479774114	0.00020521617104638	0.0978612899780272	0.0020368025337216	0.00019932412338051	0.097813129425048	0.00204192206137596	0.000199726786865227	0.097858428955079	0.00171261662794913	0.000167593972613447	0.0978288650512704	0.00171425004169834	0.000167703135993442	0.0977420806884774	0.00160224033478267	0.000156606304084661	0.0977792739868154	0.00160013175577917	0.000156459721363335	0.0978045463562018	0.000821292789314616	8.03261686845357E-05	0.0978603363037106	0.000821855206014725	8.04270268535563E-05	0.0978236198425278	0.000685355680231003	6.70439735198347E-05	0.0977807044982902	0.000685816070266941	6.70595785069504E-05	0.097788333892822	0.000523120209437594	5.11550537065665E-05	0.0978899002075198	0.000520264095846323	5.0928600423952E-05	0.0977759361267084	0.000375668365805721	3.67313261398451E-05	0.097821712493897	0.00037514968066947	3.66977842046261E-05	0.0977439880371098	1.60222248491025E-05	1.56607615397856E-06	0.0978369712829584	0.000617066738145476	6.03719407396077E-05	0.097872257232666	0.000612246090634449	5.9921906872269E-05	
0.156892299652098	0.00323016207828416	0.000506787556711001	0.156918525695802	0.00293732871427712	0.000460921291328311	0.137167930603027	0.00294779888533759	0.000404343472935666	0.137237548828125	0.00254262724594389	0.000348943930816946	0.117416381835938	0.00253847717564627	0.000298058805337497	0.117466449737548	0.00210010768338454	0.000246692193633728	0.117514133453368	0.0020975628494173	0.000246493280613252	0.117565155029296	0.0020375435405281	0.000239544122221127	0.117519378662109	0.00204259773590384	0.000240044816780049	0.117566585540772	0.00171369689228649	0.000201473492277955	0.117535114288331	0.00171424240485322	0.000201483676972327	0.117445945739747	0.00160234953235453	0.000188189456233018	0.11748743057251	0.00160047364429633	0.000188035536167396	0.117515087127686	0.000821017420512368	9.64819337048587E-05	0.11756658554077	0.000822083368403975	9.66495346531104E-05	0.117528438568114	0.000685193315781651	8.05297005211258E-05	0.117488861083984	0.000685839201991387	8.05784667287165E-05	0.117494106292725	0.00052313022115527	6.1464717809354E-05	0.117594242095949	0.000520390220205989	6.1194893539267E-05	0.117475032806396	0.000375534854893884	4.41159693986042E-05	0.117526531219483	0.000375146578201142	4.40896760348389E-05	0.117490291595459	1.60198405177925E-05	1.8821757337482E-06	0.117547035217284	0.000617132070424085	7.25420452158552E-05	0.117578983306884	0.000612262784591599	7.19892357289222E-05	
0.17661142349243	0.003230851117291	0.000570605214916871	0.17662286758423	0.00293823181777772	0.000518958929283126	0.156871318817138	0.00294790975929011	0.000462442491693751	0.156941413879394	0.00254286491946493	0.000399080815765138	0.137121677398682	0.00253930353816673	0.00034819356057783	0.137174129486084	0.00210027578710926	0.000288103502777412	0.137214660644531	0.00209747656238076	0.000287804534716933	0.13727045059204	0.00203836417541472	0.000279807168829849	0.137226104736328	0.0020429563416612	0.000280346940912545	0.137279510498047	0.00171417277483905	0.000235320799438984	0.137242317199708	0.0017140876888905	0.000235245366306824	0.137158393859864	0.00160229803021615	0.000219768624309271	0.13719606399536	0.00160126950600245	0.00021968787361933	0.137235641479491	0.000820722505577584	0.000112632379529595	0.137266159057615	0.000822335617123309	0.00011287885161879	0.137235641479491	0.000685113676059989	9.40220148204651E-05	0.137202262878418	0.000685700923872121	9.40797184130767E-05	0.137199401855469	0.000523071326643958	7.17650731432975E-05	0.137303352355958	0.000520471524666753	7.14624851425617E-05	0.137172698974609	0.000375333392358695	5.14854944451381E-05	0.137227535247804	0.000375141089218718	5.14796870436611E-05	0.137188911437988	1.60110191467811E-05	2.19653428775968E-06	0.137257575988769	0.000617199055800265	8.47152463017012E-05	0.137284278869628	0.000612311655743703	8.40607641022422E-05	
0.196321487426758	0.00323213359504236	0.00063453727494071	0.19633722305298	0.00293888746887024	0.000577013004503184	0.176583290100096	0.00294718067341257	0.000520422859830608	0.17664909362793	0.00254303754010413	0.000449225276521196	0.156831741333008	0.00253965595062897	0.000398298665123877	0.156879425048828	0.00210077693178666	0.000329568677214532	0.15692138671875	0.00209736713197824	0.000329121758808353	0.156973361968992	0.00203976893582016	0.000320189387495603	0.156928539276122	0.00204304812350092	0.000320612557691821	0.15698528289795	0.00171457976280417	0.000269163789114913	0.156948566436768	0.00171399185579758	0.000269008564651726	0.156866550445558	0.00160230254713063	0.000251347673338513	0.156903743743896	0.00160225463573881	0.000251399750778431	0.15694761276245	0.000820578022521665	0.000128787761720107	0.156970024108884	0.000822451729765299	0.000129100267849652	0.156941413879394	0.000685067424252627	0.000107515450164922	0.15691328048706	0.000685991787553705	0.000107641221772234	0.156909465789794	0.0005230617922291	8.20733463937204E-05	0.15700912475586	0.000520494656391201	8.17224104400845E-05	0.156866073608398	0.000375085194892561	5.88381417914368E-05	0.156912803649904	0.000375120349829134	5.88611857978222E-05	0.156903266906738	1.60160257332155E-05	2.51296676040389E-06	0.156964778900146	0.000617276297366297	9.68906375364016E-05	0.156986713409424	0.000612352424389407	9.61311945531859E-05	
0.21608304977417	0.0032338821531762	0.000698787118268572	0.216108798980714	0.00294019686184402	0.000635402412579976	0.196290969848632	0.00294672148481717	0.000578414818128563	0.196349143981934	0.00254349840508019	0.00049941373455691	0.176543712615966	0.00254022005271243	0.000448459878967377	0.176592350006104	0.00210106205619288	0.000371031486011757	0.176634311676024	0.00209746631783244	0.000370484519313978	0.17668533325195	0.00204132196277946	0.000360671651268213	0.176639556884764	0.00204321073242246	0.000360911838397297	0.176696300506592	0.00171479433952535	0.000302997815923774	0.176662921905518	0.00171376917656998	0.000302759470204466	0.176583766937256	0.00160236999816809	0.000282952530303765	0.17662000656128	0.00160316658680387	0.000283151293080124	0.176660537719726	0.000820523190905082	0.000144954068116797	0.176675319671628	0.000822373056290809	0.000145293022609512	0.176652431488038	0.000684906014408915	0.000120990312786116	0.176626682281494	0.000686299112361795	0.000121218735269198	0.176626205444336	0.000522986448232812	9.23731118501723E-05	0.176717758178712	0.000520533038522807	9.19874316257035E-05	0.176591873168944	0.000374935467326395	6.62105564926416E-05	0.17662572860718	0.00037501925476366	6.62380491143531E-05	0.176612854003906	1.60272310717393E-05	2.83061502135996E-06	0.176678657531738	0.000617373329537041	0.000109076691058504	0.1766939163208	0.000612408455083803	0.000108208848316728	
0.235851287841798	0.003235093524449	0.000763000974029957	0.2358775138855	0.00294133959464308	0.000693795871077394	0.216058254241942	0.00294673508212675	0.000636666437557791	0.216115474700928	0.00254424201958989	0.000549850071817718	0.196248054504394	0.00254130867566989	0.000498726883495354	0.19629955291748	0.00210181926801218	0.000412586182624135	0.196340084075928	0.00209764084768292	0.000411850980395166	0.196385860443112	0.00204280923836498	0.000401178849997444	0.196346759796142	0.0020432057498467	0.000401176828579245	0.196401119232178	0.00171475620186593	0.000336780037256787	0.196366786956786	0.00171349974494914	0.000336474439366935	0.196284294128418	0.00160232087090229	0.000314510421112288	0.196327209472658	0.00160417343963929	0.000314942894914536	0.196375370025634	0.000820586125028062	0.000161142903940287	0.196384429931638	0.000822195674264941	0.000161466428782779	0.196353912353518	0.000684929856266825	0.000134488656965724	0.196337699890138	0.000686347273380435	0.000134755844981382	0.196341037750244	0.000522869625457358	0.000102660764870379	0.196428298950196	0.000520551641691235	0.000102251073493141	0.196293830871582	0.000374810297572367	7.35729491605976E-05	0.196327686309816	0.000374844730733944	7.35923987104211E-05	0.19631814956665	1.60327145971953E-05	3.1475128622516E-06	0.19638729095459	0.000617483714545197	0.000121265953908109	0.196398735046386	0.000612485463819191	0.000120291370328388	
0.255621433258058	0.0032355086149205	0.000827065349464771	0.25564765930176	0.002941971869539	0.000752108222179268	0.235833168029784	0.00294656842195201	0.000694898565765463	0.235886096954346	0.00254492412024353	0.00060031221776922	0.216014862060546	0.00254217745993361	0.000549148113340988	0.216068744659424	0.0021029667971225	0.000454385395914707	0.2161021232605	0.00209810171265896	0.000453404234922093	0.216153621673582	0.0020439877339509	0.000441815351349864	0.216115951538086	0.00204337790482462	0.000441606560253073	0.216165065765382	0.00171439978471663	0.000370593342211427	0.21613597869873	0.00171349331882338	0.000370347555457626	0.216052055358888	0.00160226245369381	0.000346172096344923	0.216095447540284	0.00160522390165425	0.000346881577430335	0.216147899627686	0.000820678384170611	0.000177387909008321	0.216152667999266	0.000821951539693537	0.000177667018270863	0.216121673583986	0.000684980881102381	0.00014803921439688	0.216114521026612	0.000686326772642261	0.000148325181737323	0.216112613677978	0.000522860812817496	0.000112996816847781	0.216198921203612	0.000520552596296875	0.000112542909749124	0.216065406799316	0.000374694662233197	8.09585546209481E-05	0.216097354888918	0.000374628489273652	8.09562255980675E-05	0.216088771820068	1.60453511165817E-05	3.46722021620389E-06	0.216148853302002	0.000617567161047881	0.000133486433697472	0.216161727905274	0.000612587734679415	0.00013241802322188	
0.275388717651368	0.00323650545603824	0.000891297087210026	0.275419712066652	0.0029433208437222	0.000810648579297744	0.255608558654784	0.00294675822549271	0.00075321662272232	0.25565814971924	0.00254594838881109	0.000650892454364124	0.235780239105224	0.00254282761622295	0.000599548503356414	0.235846042633056	0.00210364698856486	0.000496136817349967	0.235868930816652	0.00209878190410134	0.00049503744373772	0.235926151275634	0.00204510280646948	0.000482493234093341	0.235889434814452	0.00204380370550574	0.000482111700963431	0.235936164855958	0.00171472190591213	0.000404564910275407	0.235907554626464	0.0017136108517323	0.000404253745613539	0.23582172393799	0.00160243316512175	0.000377888551494421	0.235865116119386	0.00160597824965663	0.000378794246340468	0.235910892486574	0.000820864346005696	0.000193650840476612	0.235928535461426	0.000821489720111848	0.000193812866562605	0.235888481140138	0.000684844034891573	0.000161546819208457	0.235891342163086	0.000686154640947409	0.000161857939184515	0.235890865325928	0.000522789764546586	0.000123321329942432	0.235970497131348	0.000520556170247255	0.000122835898278035	0.23583173751831	0.000374602868751938	8.83432454171129E-05	0.235862255096438	0.000374356217118964	8.82965015790506E-05	0.235867500305176	1.60553646532481E-05	3.78693872724971E-06	0.235916137695312	0.000617686370337431	0.000145722182797043	0.235926628112794	0.000612673323224021	0.000144545951282903	
0.295158386230468	0.00323717656708552	0.000955479811484047	0.29519557952881	0.00294474539473234	0.000869275823362808	0.27537727355957	0.00294813509278701	0.000811849403936976	0.275434017181398	0.00254742611834023	0.000701647809247266	0.255545139312744	0.00254343367438839	0.000649962112654306	0.25561761856079	0.00210372973657562	0.000537750385358977	0.255638599395752	0.00209946260777114	0.000536703680534367	0.255693912506104	0.00204611394338874	0.000523178879618359	0.25566005706787	0.00204430340663316	0.000522646725603874	0.255712032318116	0.00171507476075259	0.000438565252649552	0.255679130554198	0.00171330782264958	0.000438057054466751	0.255596160888674	0.00160287591587373	0.000409688930478242	0.255635738372804	0.00160670281861969	0.000410730661383509	0.255681514739992	0.00082112874848463	0.000209947442209104	0.25570583343506	0.000821022894671323	0.000209940343551196	0.255655765533448	0.000684696699660269	0.000175046658909871	0.255670070648194	0.000685735499222703	0.000175322043532243	0.255664825439454	0.000522674850982412	0.000133629574538011	0.255746841430664	0.000520584063358365	0.000133137729903042	0.255599975585936	0.000374505120626965	9.57234996890604E-05	0.255636215209962	0.000374046983099596	9.56199550702853E-05	0.255638599395752	1.60510732934471E-05	4.10327389553537E-06	0.25569200515747	0.000617821551809137	0.000157972031411578	0.255704879760742	0.000612771077169759	0.000156688554608554	
0.314878940582274	0.0032362648488511	0.00101903164704989	0.314908027648928	0.00294561776458798	0.000927598680454045	0.295149326324462	0.00294967000552223	0.000870593115009358	0.295217037200928	0.00254880512767645	0.000752450698195176	0.275307655334474	0.00254471084360109	0.000700578375856028	0.2753849029541	0.00210393835283232	0.000579392859116136	0.275399684906006	0.00210036501277982	0.000578439862707162	0.275464534759522	0.00204668805718986	0.000563789973471674	0.275425910949706	0.0020450041337383	0.000563247126430785	0.27548360824585	0.00171581385834781	0.000472678592775889	0.2754487991333	0.00171331115212778	0.000471929499395288	0.27535963058472	0.00160354611888149	0.000441551866920768	0.275403022766114	0.00160720945810029	0.000442630342979107	0.275446891784668	0.000821398156822402	0.000226251569214386	0.275477886199952	0.000820751099819453	0.000226098778074549	0.275417804718018	0.000684735081791875	0.000188588233040531	0.275436878204346	0.000685357370615877	0.000188772694616776	0.27543592453003	0.000522811708834752	0.000144001126378025	0.275512218475342	0.000520632224377005	0.000143440539147861	0.27536630630493	0.000374360160268225	0.000103086174560783	0.275408744812012	0.000373795933458076	0.000102946668849523	0.275405883789062	1.60432058004789E-05	4.41839327229069E-06	0.275465965270996	0.000617964602956597	0.000170228215856747	0.275481224060058	0.000612856910186541	0.000168830571791853	
0.334592342376708	0.00323627369641556	0.00108283239665581	0.334631919860842	0.00294667779594242	0.000986052448067527	0.31485652923584	0.00295097083032833	0.000929132433513382	0.314932823181154	0.00255016793199987	0.000803131586410765	0.295078277587892	0.00254629320722149	0.000751355813820667	0.295169353485106	0.0021041007289232	0.0006210660518238	0.29517650604248	0.00210204730731248	0.000620474979708501	0.295243740081788	0.00204738016956118	0.000604476178630527	0.295197010040282	0.0020460650964153	0.000603992298809577	0.295266151428222	0.00171680448288737	0.000506914252416873	0.295231819152832	0.00171375795413296	0.00050595587838631	0.295133113861086	0.00160461590583989	0.000473575288841554	0.295176982879638	0.00160761332613477	0.00047453045124556	0.295220375061036	0.000821623234205622	0.000242559919361045	0.295253276824952	0.000820537710534545	0.000242266447793768	0.295190334320068	0.000684832358434793	0.000202155892839567	0.295212268829346	0.000685116088219859	0.000202254674814871	0.295212268829346	0.000522956902024135	0.000154383293546511	0.295293807983398	0.000520552829127519	0.000153716027169596	0.29513883590698	0.000374259548326338	0.000110458527420107	0.295184135437012	0.000373607823760302	0.000110283102449188	0.295186519622802	1.60472592364657E-05	4.73693460349717E-06	0.295238018035888	0.000618127444708769	0.000182494721669405	0.295254707336426	0.000612971346447897	0.000180982675501089	
0.354300022125244	0.00323762122704878	0.00114708927237654	0.354341983795168	0.00294809256806552	0.00104463296898013	0.334575653076172	0.00295173498050081	0.00098757865880884	0.334652423858644	0.00255167402030141	0.000853923895790999	0.31478786468506	0.00254759351980017	0.000801951524183392	0.314880847930906	0.00210417150943888	0.000662563309084167	0.314888477325438	0.0021028719934523	0.000662170160028503	0.314958572387696	0.00204860918939676	0.000645227025672717	0.31491184234619	0.0020469625188482	0.000644612738024083	0.314981937408446	0.00171781846034047	0.000541081786754035	0.31494665145874	0.0017142898557384	0.000539909849694496	0.314844608306886	0.00160593768540391	0.000505620821526261	0.31488275527954	0.00160819125835845	0.000506391694448378	0.314932823181152	0.000821763188705522	0.000258800201005376	0.314961910247804	0.000820480969706687	0.000258420253540789	0.314899444580078	0.000685055270493027	0.000215723524184909	0.314919948577882	0.000684836900995055	0.000215668801645599	0.314924240112304	0.000522933292996868	0.000164684369926464	0.315010070800782	0.000520557357683537	0.000163980810099759	0.314847469329832	0.000374123412248993	0.000117791809563637	0.31489086151123	0.000373482415354864	0.000117606199530388	0.314898490905762	1.60606106186877E-05	5.05746204684981E-06	0.314948558807374	0.000618326759381269	0.000194741121739165	0.314972400665282	0.000613111300947797	0.000193113138334542	
0.374004364013672	0.00323784483759894	0.00121096809926114	0.374054908752444	0.00294939050577164	0.00110323399651174	0.354287147521972	0.00295177265249895	0.00104577511318722	0.354363918304444	0.00255295691714793	0.000904675816422976	0.334503173828126	0.00254842677410769	0.000852456844207595	0.334596157073972	0.0021045289044769	0.000704167283889066	0.33460760116577	0.0021033974456489	0.000703812773586787	0.334680080413818	0.00204950446978774	0.000685928320757039	0.33463144302368	0.0020481276965213	0.000685367926583687	0.334695816040038	0.00171853823299225	0.000575187556287346	0.334668636322022	0.00171495479677362	0.000573941583190138	0.334558486938478	0.00160721774171659	0.00053770833584938	0.334598064422606	0.00160886383623877	0.000538322725525019	0.334653377532958	0.000821866425812918	0.000275040375279233	0.334678649902344	0.000820675045689705	0.000274662416299975	0.334615230560302	0.000685340651012955	0.000229325419951047	0.334635734558106	0.000684817343220987	0.000229164354686886	0.334641456604002	0.00052313214200808	0.000175061701997956	0.33472490310669	0.000520702085211633	0.000174291955019915	0.33455467224121	0.000374002060917521	0.000125124136907798	0.334605693817138	0.00037344140805775	0.000124955621443212	0.33461332321167	1.60887438363987E-05	5.38350804139864E-06	0.334668159484864	0.000618531091554142	0.000207002661994588	0.334689617156982	0.000613283199812007	0.00020525951935389	
0.393709659576416	0.00323800577013982	0.00127483414946822	0.393760204315188	0.00295079694255768	0.00116190640699414	0.374001026153564	0.00295178624980855	0.00110397108641438	0.374072074890138	0.00255438384303063	0.000955523664228314	0.354212760925294	0.00254927506927477	0.000902985760645837	0.35431098937988	0.00210516094654216	0.000745881657773236	0.354318141937256	0.00210498837743698	0.00074583557069299	0.354398250579834	0.00205028026149238	0.000726615737871262	0.354350090026854	0.0020496776501161	0.000726303459844669	0.35440683364868	0.00171943898490335	0.000609380926291697	0.354382038116456	0.00171594660874946	0.000608100656507655	0.354270935058594	0.00160845775115857	0.00056982983150519	0.354307651519774	0.00160979341258355	0.000570362123444479	0.354365348815918	0.000821976100687612	0.000291279847638514	0.354393482208252	0.000820939448168639	0.000290935589718605	0.354328632354736	0.000685548312664029	0.000242909396039342	0.354345321655274	0.000685043130737671	0.000242741828508976	0.354352951049802	0.000523206042454376	0.000185399605150796	0.354432582855226	0.000520837266683339	0.000184601697677832	0.354265689849854	0.000373890244000905	0.000132456485219111	0.35431957244873	0.000373477409496024	0.00013233035605189	0.354323387145996	1.61228375185873E-05	5.71269839999039E-06	0.354378700256348	0.000618749719528531	0.000219271721390501	0.354398727416992	0.000613481082576049	0.00021741691495935	
0.41341257095337	0.00323927702545418	0.0013391578431232	0.413471698760988	0.00295286950781524	0.00122092797161589	0.393707275390626	0.00295135593221295	0.00116197030277952	0.393774986267092	0.00255599316843957	0.00100648617480107	0.373923778533936	0.00254950231198297	0.000953319537877679	0.374030113220212	0.00210589073091164	0.000787666548512274	0.374039173126222	0.00210533147667346	0.000787476444691549	0.37411642074585	0.0020511247382369	0.000767359445572456	0.37406587600708	0.00205095318951428	0.000767191601485173	0.374116897583006	0.00172003193470355	0.000643493011154988	0.374097347259522	0.00171671169024452	0.000642217289329885	0.3739914894104	0.00160934609319637	0.000601881742371319	0.374022483825682	0.00161069726114221	0.000602436990303631	0.3740873336792	0.000822183762338688	0.000307568531447613	0.374111652374268	0.000821184781817857	0.000307214795630481	0.374050140380858	0.000685616264287379	0.000256454859904094	0.374062061309816	0.000685324460004399	0.000256353880175282	0.37406778335571	0.000523109010283634	0.000195678227930198	0.374152183532716	0.000521027768715977	0.000194943677346262	0.37397861480713	0.000373794160615035	0.000139791022409805	0.374037742614746	0.000373554895534232	0.000139723629868311	0.37403678894043	1.61724282628983E-05	6.04908313682393E-06	0.374091148376464	0.000618969779411381	0.00023155111559033	0.374110698699952	0.000613675868692531	0.000229582708011863	
0.433115482330322	0.00324010553001656	0.00140333986943426	0.43317461013794	0.00295519692949532	0.00128011627781497	0.413418769836426	0.00295118307874311	0.00122007447797605	0.41348457336426	0.00255720337555917	0.00105736414674873	0.393628120422362	0.00254926440563129	0.00100346215644828	0.393730640411374	0.00210685036569252	0.000829531543735052	0.393746852874756	0.00210610824626682	0.000829273493781132	0.393825054168702	0.00205123156093622	0.000807826380598256	0.393778324127198	0.0020524232821983	0.000808199800463689	0.39382219314575	0.00172025580136741	0.000677474912466214	0.393800258636476	0.00171763199992968	0.000676403925814596	0.393699645996094	0.00161011357284703	0.000633901143643382	0.393727302551268	0.00161133694005259	0.000634427346908119	0.393790245056152	0.000822374974504788	0.000323843242738287	0.393819332122804	0.000821652084561203	0.000323582475179202	0.3937611579895	0.000685584308281539	0.000269956471128369	0.393765926361084	0.000685583856624493	0.000269959562401948	0.393769264221188	0.000523039393921182	0.00020595683730304	0.393846511840822	0.000521377526908873	0.000205342720325254	0.393685340881348	0.000373666604346909	0.000147107064508289	0.393738746643066	0.000373645495758444	0.000147118709188757	0.393739700317384	1.62320329076737E-05	6.39119577260935E-06	0.393797397613526	0.000619199140878445	0.000243839010282463	0.393814563751222	0.000613887826068981	0.000241757966415542	
0.452826976776122	0.00324156654230548	0.00146786877737082	0.45288610458374	0.0029566181743103	0.00133901128770488	0.43312406539917	0.00295153977528919	0.00127838290666061	0.433188915252688	0.00255797348619613	0.00110808575973044	0.413337230682372	0.00254935097206461	0.0010537416708306	0.413444042205808	0.00210784529759898	0.000871476080183825	0.413466930389404	0.00210700017389654	0.000871174894230943	0.41353988647461	0.00205108566925492	0.000848205734813377	0.413493156433106	0.00205396056980608	0.000849298639198256	0.413534641265868	0.00172051997101571	0.000711494609004743	0.413512706756592	0.00171850318234904	0.000710622902502969	0.41341495513916	0.00161082882858433	0.000665940727906056	0.413440227508544	0.00161163163379827	0.000666313349337521	0.413503170013428	0.000822436243888666	0.0003400799939819	0.413533687591554	0.000821948908707264	0.000339903563229569	0.413478851318358	0.000685484889596699	0.000283433504746535	0.413479804992676	0.000685851355750987	0.00028358568482988	0.413479804992674	0.000523046541821942	0.000216269182114629	0.413554191589356	0.000521619286607711	0.000215717842390468	0.413395404815674	0.000373551684961967	0.00015442455002443	0.4134521484375	0.000373763273139536	0.000154533228286573	0.413453578948974	1.62744713856499E-05	6.72873843989962E-06	0.413509845733642	0.000619423496486671	0.000256137714475997	0.413520336151124	0.000614067839081123	0.00025392953923642	
0.472538471221922	0.00324378742068304	0.00153281434873846	0.472596645355224	0.00295777045316574	0.00139783239389693	0.452836990356446	0.00295249987573137	0.00133700115775397	0.452898502349856	0.00255871784576391	0.00115883948028233	0.433042049407958	0.00254946873780417	0.00110402716712024	0.43315029144287	0.00210883589885546	0.000913442884194427	0.43317413330078	0.00210845406156776	0.000913327760724124	0.433244705200196	0.00205099365458454	0.00088858214124795	0.433203697204592	0.00205532980025528	0.000890376468445361	0.433246135711668	0.00172082109088715	0.000745539087877995	0.43321943283081	0.00171907110285504	0.000744735008174696	0.433122158050536	0.00161144634201743	0.000697953117237231	0.433143615722656	0.00161174201880643	0.000698115765637948	0.433208465576172	0.000822478677273473	0.000356304725750761	0.433237075805666	0.000822107221903417	0.000356167328816156	0.433190822601318	0.000685333025809375	0.000296879977206214	0.433187007904054	0.000686065699641535	0.000297194747653318	0.43318223953247	0.000522965714663998	0.000226539459476849	0.43325662612915	0.000521691755145547	0.000226026409713754	0.43310022354126	0.000373440339527405	0.000161737094528643	0.433157920837402	0.00037384767424786	0.000161935081287101	0.433157444000244	1.63116646257821E-05	7.06551895669297E-06	0.433216571807862	0.000619620669117249	0.000268429942096268	0.43322515487671	0.000614250715910181	0.000266108861533318	
0.492248535156248	0.0032464355432917	0.00159805314066452	0.492306232452392	0.00295908911279914	0.00145677801261304	0.47254753112793	0.00295378663756659	0.00139580458306076	0.472607612609866	0.00255897675343965	0.00120939189416726	0.45275068283081	0.00254927153024899	0.00115418442604137	0.452856063842774	0.00210976168006076	0.000955418370078632	0.45289087295532	0.0021099186594486	0.000955562903542395	0.452963829040528	0.00205095551692512	0.000929008664138196	0.452915668487552	0.00205614400901614	0.000931259838350219	0.452958106994628	0.00172115583150353	0.000779611487280604	0.452927589416504	0.00171972961776448	0.000778912990222232	0.452828884124754	0.00161219999152787	0.000730050723149503	0.45285415649414	0.00161146355335663	0.000729757968176364	0.452919960021972	0.000822357558772642	0.000372462152643072	0.45293951034546	0.000822263393057647	0.000372435578626527	0.452904224395752	0.000685379510447381	0.000310411275595911	0.452894687652588	0.000686153197397419	0.000310755138017129	0.452895641326904	0.00052295618024914	0.000236844574639802	0.452968597412108	0.000521708681933339	0.000236317649913064	0.452812194824218	0.000373371433298417	0.000169067138196521	0.452868461608886	0.000373909904058144	0.000169332003031138	0.45286750793457	1.63588714025809E-05	7.40840132470891E-06	0.452929496765138	0.000619791380545177	0.000280721798089697	0.452930450439454	0.000614416177007093	0.00027828779580911	
0.511958122253416	0.00324947277247204	0.00166359397890839	0.512014389038086	0.00295986206396994	0.00151549196632058	0.49226713180542	0.00295502473779727	0.00145466155208952	0.49231815338135	0.00255861102306459	0.00125965065409633	0.472461700439452	0.00254929439421819	0.00120444396441309	0.472558975219728	0.00211055847308946	0.000997363349184467	0.472598075866696	0.0021118062174767	0.000998035554982814	0.472676277160646	0.00205105423711804	0.000969484681055522	0.472633361816408	0.00205699444622516	0.000972204200357076	0.472670078277588	0.00172145648571367	0.000813680971853742	0.472633838653564	0.00172041174170118	0.000813124805544893	0.472537994384764	0.00161304519004741	0.000762225138956993	0.472559452056884	0.00161116266631583	0.000761370146768715	0.472627162933348	0.000821898125705052	0.000388451379372215	0.472647666931154	0.000822357328580829	0.000388685272737465	0.472611904144288	0.000685555460564791	0.00032400167161404	0.47260570526123	0.000686191579529025	0.000324298055387632	0.472602844238282	0.000522922559504196	0.000247134688938045	0.47267723083496	0.000521699380349125	0.000246595418431739	0.472517013549804	0.000373320652935037	0.000176400360021327	0.47257661819458	0.00037396402554126	0.00017672665451672	0.472579956054686	1.63958263551011E-05	7.74833889837393E-06	0.47263813018799	0.000619936340903915	0.000293005553000411	0.472638130187988	0.000614548029000593	0.000290458831337554	
